event,phase,id,action,player,amount,private,who,percentage,company,round,source,direction,old_price,new_price,location,tile,rotation,train,route,per_share,num_shares,old_train,new_train
,,199,TilePlaced,,,,,,d,,,,,,I17,7,1,,,,,,
,,200,TokenSkipped,,,,,,O,,,,,,,,,,,,,,
,,201,TrainSkipped,,,,,,O,,,,,,,,,,,,,,
,,202,RunTrainSkipped,,,,,,O,,,,,,,,,,,,,,
SharePriceMove,,203,,,,,,,O,,,left,100,90,,,,,,,,,
,,204,TrainBought,,80,,,,O,,The Depot,,,,,,,2,,,,,
PrivatesClose,,205,,,,o,,,,,,,,,,,,,,,,,
,,206,Passed,,,,O,,,,,,,,,,,,,,,,
,,207,PrivateBuySkipped,,,,,,O,,,,,,,,,,,,,,
CompanyOperated,,208,,y,,,,,PRR,,,,,,,,,,,,,,
,,209,TilePlaced,,,,,,R,,,,,,H14,9,1,,,,,,
,,210,TokenSkipped,,,,,,R,,,,,,,,,,,,,,
,,211,TrainRan,,30,,,,R,,,,,,,,,2,H10-G7,,,,
,,212,TrainRan,,30,,,,R,,,,,,,,,2,H10-H12,,,,
,,213,DividendPayed,,60,,,,R,,,,,,,,,,,6,,,
SharePriceMove,,214,,,,,,,R,,,right,76,82,,,,,,,,,
,,215,Passed,,,,PRR,,,,,,,,,,,,,,,,
,,216,PrivateBuySkipped,,,,,,R,,,,,,,,,,,,,,
CompanyOperated,,217,,n,,,,,NYNH,,,,,,,,,,,,,,
,,218,TokenPlaced,,,,,,H,,,,,,G19,,,,,,,,
,,219,TilePlaced,,,,,,H,,,,,,F20 (New Haven & Hartford),56,0,,,,,,
,,220,TokenSkipped,,,,,,H,,,,,,,,,,,,,,
,,221,TrainSkipped,,,,,,H,,,,,,,,,,,,,,
,,222,RunTrainSkipped,,,,,,H,,,,,,,,,,,,,,
SharePriceMove,,223,,,,,,,H,,,left,71,67,,,,,,,,,
,,224,TrainBought,,80,,,,H,,The Depot,,,,,,,2,,,,,
,,225,TrainBought,,180,,,,H,,The Depot,,,,,,,3,,,,,
PhaseChange,3,226,,,,,,,,,,,,,,,,,,,,,
,,227,PrivateBought,NYNH,320,Camden & Amboy from leesin,,,,,,,,,,,,,,,,,
,,228,PrivateBought,NYNH,40,Schuylkill Valley from leesin,,,,,,,,,,,,,,,,,
,,229,Passed,,,,NYNH,,,,,,,,,,,,,,,,
,,230,Passed,,,,NYNH,,,,,,,,,,,,,,,,
CompanyOperated,,231,,y,,,,,C&O,,,,,,,,,,,,,,
,,232,TilePlaced,,,,,,O,,,,,,G3,8,2,,,,,,
,,233,TokenSkipped,,,,,,O,,,,,,,,,,,,,,
,,234,TrainRan,,40,,,,O,,,,,,,,,2,F6-G7,,,,
,,235,TrainRan,,70,,,,O,,,,,,,,,2,F2-F6,,,,
,,236,DividendPayed,,110,,,,O,,,,,,,,,,,11,,,
SharePriceMove,,237,,,,,,,O,,,right,67,69,,,,,,,,,
,,238,TrainBought,,180,,,,O,,The Depot,,,,,,,3,,,,,
,,239,TrainBought,,180,,,,O,,The Depot,,,,,,,3,,,,,
,,240,PrivateBought,O,140,Delaware & Hudson from JuicyBerry,,,,,,,,,,,,,,,,,
,,241,Passed,,,,O,,,,,,,,,,,,,,,,
StockRound,,242,,,,,,,,4,,,,,,,,,,,,,
,,243,ShareBought,y,71,,,10,NYNH,,IPO,,,,,,,,,,,,
,,244,SellSharesSkipped,y,,,,,,,,,,,,,,,,,,,
,,245,SharesSold,e,90,,,,B&O,,,,,,,,,,,,1,,
SharePriceMove,,246,,,,,,,O,,,down,90,82,,,,,,,,,
,,247,ShareBought,e,82,,,10,PRR,,market,,,,,,,,,,,,
,,248,SharesSold,e,82,,,,PRR,,,,,,,,,,,,1,,
SharePriceMove,,249,,,,,,,R,,,down,82,76,,,,,,,,,
,,250,Passed,,,,JibJibMonkey,,,,,,,,,,,,,,,,
,,251,SharesSold,n,201,,,,NYNH,,,,,,,,,,,,3,,
SharePriceMove,,252,,,,,,,H,,,down,67,60,,,,,,,,,
,,253,ShareBought,n,82,,,10,B&O,,market,,,,,,,,,,,,
,,254,SharesSold,n,82,,,,B&O,,,,,,,,,,,,1,,
SharePriceMove,,255,,,,,,,O,,,down,82,76,,,,,,,,,
,,256,ShareBought,y,76,,,10,B&O,,market,,,,,,,,,,,,
,,257,SellSharesSkipped,y,,,,,,,,,,,,,,,,,,,
,,258,ShareBought,e,69,,,10,C&O,,market,,,,,,,,,,,,
,,259,SellSharesSkipped,e,,,,,,,,,,,,,,,,,,,
,,260,Passed,,,,JibJibMonkey,,,,,,,,,,,,,,,,
,,261,CompanyPared,leesin,100,,,,NYC,,,,,,,,,,,,,,
,,262,ShareBought,n,200,,,20,NYC,,IPO,,,,,,,,,,,,
PresidentNomination,,263,,leesin,,,,,NYC,,,,,,,,,,,,,,
,,264,SellSharesSkipped,n,,,,,,,,,,,,,,,,,,,
,,265,Passed,,,,JuicyBerry,,,,,,,,,,,,,,,,
,,266,ShareBought,e,60,,,10,NYNH,,market,,,,,,,,,,,,
,,267,SellSharesSkipped,e,,,,,,,,,,,,,,,,,,,
,,268,Passed,,,,JibJibMonkey,,,,,,,,,,,,,,,,
,,269,ShareBought,n,76,,,10,PRR,,market,,,,,,,,,,,,
,,270,SellSharesSkipped,n,,,,,,,,,,,,,,,,,,,
,,271,Passed,,,,JuicyBerry,,,,,,,,,,,,,,,,
,,272,SharesSold,e,76,,,,PRR,,,,,,,,,,,,1,,
SharePriceMove,,273,,,,,,,R,,,down,76,71,,,,,,,,,
,,274,ShareBought,e,69,,,10,C&O,,market,,,,,,,,,,,,
,,275,Passed,,,,JibJibMonkey,,,,,,,,,,,,,,,,
,,276,ShareBought,n,71,,,10,PRR,,market,,,,,,,,,,,,
,,277,SharesSold,n,142,,,,PRR,,,,,,,,,,,,2,,
SharePriceMove,,278,,,,,,,R,,,down,71,68,,,,,,,,,
,,279,Passed,,,,JuicyBerry,,,,,,,,,,,,,,,,
,,280,Passed,,,,KingZombie,,,,,,,,,,,,,,,,
,,281,Passed,,,,JibJibMonkey,,,,,,,,,,,,,,,,
,,282,ShareBought,n,100,,,10,NYC,,IPO,,,,,,,,,,,,
,,283,SellSharesSkipped,n,,,,,,,,,,,,,,,,,,,
,,284,Passed,,,,JuicyBerry,,,,,,,,,,,,,,,,
,,285,Passed,,,,KingZombie,,,,,,,,,,,,,,,,
,,286,Passed,,,,JibJibMonkey,,,,,,,,,,,,,,,,
,,287,ShareBought,n,100,,,10,NYC,,IPO,,,,,,,,,,,,
,,288,SellSharesSkipped,n,,,,,,,,,,,,,,,,,,,
,,289,Passed,,,,JuicyBerry,,,,,,,,,,,,,,,,
,,290,Passed,,,,KingZombie,,,,,,,,,,,,,,,,
,,291,Passed,,,,JibJibMonkey,,,,,,,,,,,,,,,,
,,292,ShareBought,n,100,,,10,NYC,,IPO,,,,,,,,,,,,
,,293,SellSharesSkipped,n,,,,,,,,,,,,,,,,,,,
,,294,Passed,,,,JuicyBerry,,,,,,,,,,,,,,,,
,,295,Passed,,,,KingZombie,,,,,,,,,,,,,,,,
,,296,Passed,,,,JibJibMonkey,,,,,,,,,,,,,,,,
,,297,ShareBought,n,100,,,10,NYC,,IPO,,,,,,,,,,,,
CompanyFloating,,298,,C,,,,,,,,,,,,,,,,,,,
,,299,FundsReceived,,1000,,,,C,,,,,,,,,,,,,,
,,300,SellSharesSkipped,n,,,,,,,,,,,,,,,,,,,
,,301,Passed,,,,JuicyBerry,,,,,,,,,,,,,,,,
,,302,Passed,,,,KingZombie,,,,,,,,,,,,,,,,
,,303,Passed,,,,JibJibMonkey,,,,,,,,,,,,,,,,
,,304,Passed,,,,leesin,,,,,,,,,,,,,,,,
SharePriceMove,,305,,,,,,,O,,,up,69,71,,,,,,,,,
PriorityDeal,,306,,JuicyBerry,,,,,,,,,,,,,,,,,,,
OperatingRound,,307,,,,,,,,4.1,,,,,,,,,,,,,
,,308,Collect,,10,,e,,,,Champlain & St.Lawrence,,,,,,,,,,,,
,,309,Collect,,20,,n,,,,Mohawk & Hudson,,,,,,,,,,,,
,,310,Collect,,15,,O,,,,Delaware & Hudson,,,,,,,,,,,,
,,311,Collect,,5,,H,,,,Schuylkill Valley,,,,,,,,,,,,
,,312,Collect,,25,,H,,,,Camden & Amboy,,,,,,,,,,,,
CompanyOperated,,313,,n,,,,,NYC,,,,,,,,,,,,,,
,,314,TokenPlaced,,,,,,C,,,,,,E19,,,,,,,,
,,315,TilePlaced,,,,,,C,,,,,,E19 (Albany),57,2,,,,,,
,,316,TokenSkipped,,,,,,C,,,,,,,,,,,,,,
,,317,TrainSkipped,,,,,,C,,,,,,,,,,,,,,
,,318,RunTrainSkipped,,,,,,C,,,,,,,,,,,,,,
SharePriceMove,,319,,,,,,,C,,,left,100,90,,,,,,,,,
,,320,TrainBought,,180,,,,C,,The Depot,,,,,,,3,,,,,
,,321,Passed,,,,NYC,,,,,,,,,,,,,,,,
,,322,Passed,,,,NYC,,,,,,,,,,,,,,,,
CompanyOperated,,323,,e,,,,,B&O,,,,,,,,,,,,,,
,,324,TilePlaced,,,,,,O,,,,,,H16 (Lancaster),57,2,,,,,,
,,325,TokenPlaced,,,,,,O,,,,,,H16 (Lancaster)  for $40,,,,,,,,
,,326,TrainRan,,50,,,,O,,,,,,,,,2,I15-H16,,,,
,,327,DividendPayed,,50,,,,O,,,,,,,,,,,5,,,
SharePriceMove,,328,,,,,,,O,,,right,76,82,,,,,,,,,
,,329,TrainBought,,180,,,,O,,The Depot,,,,,,,3,,,,,
,,330,TrainBought,,300,,,,O,,The Depot,,,,,,,4,,,,,
PhaseChange,4,331,,,,,,,,,,,,,,,,,,,,,
TrainRust,,332,,,,,,,,,,,,,,,,2,,,,,
,,333,Passed,,,,O,,,,,,,,,,,,,,,,
,,334,Passed,,,,O,,,,,,,,,,,,,,,,
CompanyOperated,,335,,y,,,,,C&O,,,,,,,,,,,,,,
,,336,TilePlaced,,,,,,O,,,,,,H10 (Pittsburgh),14,0,,,,,,
,,337,TokenPlaced,,,,,,O,,,,,,H10 (Pittsburgh)  for $40,,,,,,,,
,,338,TrainRan,,70,,,,O,,,,,,,,,3,F6-G7-H10,,,,
,,339,TrainRan,,70,,,,O,,,,,,,,,3,F6-F2,,,,
,,340,DividendPayed,,140,,,,O,,,,,,,,,,,14,,,
SharePriceMove,,341,,,,,,,O,,,right,71,75,,,,,,,,,
,,342,Passed,,,,O,,,,,,,,,,,,,,,,
,,343,Passed,,,,O,,,,,,,,,,,,,,,,
CompanyOperated,,344,,y,,,,,PRR,,,,,,,,,,,,,,
,,345,TilePlaced,,,,,,R,,,,,,H16 (Lancaster),14,1,,,,,,
,,346,Passed,,,,PRR,,,,,,,,,,,,,,,,
,,347,TrainSkipped,,,,,,R,,,,,,,,,,,,,,
,,348,RunTrainSkipped,,,,,,R,,,,,,,,,,,,,,
SharePriceMove,,349,,,,,,,R,,,left,68,67,,,,,,,,,
,,350,TrainBought,,300,,,,R,,The Depot,,,,,,,4,,,,,
,,351,Passed,,,,PRR,,,,,,,,,,,,,,,,
,,352,Passed,,,,PRR,,,,,,,,,,,,,,,,
CompanyOperated,,353,,n,,,,,NYNH,,,,,,,,,,,,,,
,,354,TilePlaced,,,,,,H,,,,,,E19 (Albany),15,5,,,,,,
,,355,Passed,,,,NYNH,,,,,,,,,,,,,,,,
,,356,TrainRan,,80,,,,H,,,,,,,,,3,G19-F20-E19,,,,
,,357,DividendWithheld,,80,,,,H,,,,,,,,,,,,,,
SharePriceMove,,358,,,,,,,H,,,left,60,50,,,,,,,,,
,,359,Passed,,,,NYNH,,,,,,,,,,,,,,,,
,,360,Passed,,,,NYNH,,,,,,,,,,,,,,,,
OperatingRound,,361,,,,,,,,4.2,,,,,,,,,,,,,
,,362,Collect,,10,,e,,,,Champlain & St.Lawrence,,,,,,,,,,,,
,,363,Collect,,20,,n,,,,Mohawk & Hudson,,,,,,,,,,,,
,,364,Collect,,15,,O,,,,Delaware & Hudson,,,,,,,,,,,,
,,365,Collect,,5,,H,,,,Schuylkill Valley,,,,,,,,,,,,
,,366,Collect,,25,,H,,,,Camden & Amboy,,,,,,,,,,,,
CompanyOperated,,367,,n,,,,,NYC,,,,,,,,,,,,,,
,,368,TilePlaced,,,,,,d,,,,,,G19 (New York & Newark),54,0,,,,,,
,,369,TokenSkipped,,,,,,C,,,,,,,,,,,,,,
,,370,TrainRan,,100,,,,C,,,,,,,,,3,E19-F20-G19,,,,
,,371,DividendPayed,,100,,,,C,,,,,,,,,,,10,,,
