event,phase,id,action,player,amount,private,who,percentage,company,round,source,direction,old_price,new_price,location,tile,rotation,train,route,per_share,num_shares,old_train,new_train
,,754,TilePlaced,,,,,,C,,,,,,E13,8,1,,,,,,
,,755,TokenSkipped,,,,,,C,,,,,,,,,,,,,,
,,756,TrainRan,,100,,,,C,,,,,,,,,3,E19-F20-G19,,,,
,,757,DividendPayed,,100,,,,C,,,,,,,,,,,10,,,
SharePriceMove,,758,,,,,,,C,,,right,90,100,,,,,,,,,
,,759,Passed,,,,NYC,,,,,,,,,,,,,,,,
,,760,PrivateBuySkipped,,,,,,C,,,,,,,,,,,,,,
CompanyOperated,,761,,e,,,,,B&O,,,,,,,,,,,,,,
,,762,TilePlaced,,,,,,O,,,,,,J14 (Washington),14,2,,,,,,
,,763,Passed,,,,O,,,,,,,,,,,,,,,,
,,764,TrainRan,,150,,,,O,,,,,,,,,4,H18-H16-I15-H10,,,,
,,765,DividendPayed,,150,,,,O,,,,,,,,,,,15,,,
SharePriceMove,,766,,,,,,,O,,,right,90,100,,,,,,,,,
,,767,Passed,,,,O,,,,,,,,,,,,,,,,
,,768,PrivateBuySkipped,,,,,,O,,,,,,,,,,,,,,
CompanyOperated,,769,,y,,,,,PRR,,,,,,,,,,,,,,
,,770,TilePlaced,,,,,,R,,,,,,H2,7,4,,,,,,
,,771,Passed,,,,PRR,,,,,,,,,,,,,,,,
,,772,TrainRan,,150,,,,R,,,,,,,,,4,F2-H4-H10-I15,,,,
,,773,DividendPayed,,150,,,,R,,,,,,,,,,,15,,,
SharePriceMove,,774,,,,,,,R,,,right,75,80,,,,,,,,,
,,775,Passed,,,,PRR,,,,,,,,,,,,,,,,
,,776,PrivateBuySkipped,,,,,,R,,,,,,,,,,,,,,
CompanyOperated,,777,,y,,,,,ERIE,,,,,,,,,,,,,,
,,778,TilePlaced,,,,,,E,,,,,,F10 (Erie),58,3,,,,,,
,,779,TokenSkipped,,,,,,E,,,,,,,,,,,,,,
,,780,TrainSkipped,,,,,,E,,,,,,,,,,,,,,
,,781,RunTrainSkipped,,,,,,E,,,,,,,,,,,,,,
SharePriceMove,,782,,,,,,,E,,,left,67,62,,,,,,,,,
,,783,TrainBought,,249,,,,E,,C&O,,,,,,,3,,,,,
,,784,TrainBought,,300,,,,E,,The Depot,,,,,,,4,,,,,
,,785,TrainBought,,450,,,,E,,The Depot,,,,,,,5,,,,,
PhaseChange,5,786,,,,,,,,,,,,,,,,,,,,,
PrivatesClose,,787,,,,,,,,,,,,,,,,,,,,,
,,788,TrainDiscarded,,,,,,E,,,,,,,,,,,,,,
,,789,PrivateBuySkipped,,,,,,E,,,,,,,,,,,,,,
CompanyOperated,,790,,y,,,,,B&M,,,,,,,,,,,,,,
,,791,TilePlaced,,,,,,d,,,,,,E21,8,4,,,,,,
,,792,TokenSkipped,,,,,,M,,,,,,,,,,,,,,
,,793,TrainRan,,70,,,,M,,,,,,,,,4,F20-E23-F24,,,,
,,794,DividendPayed,,70,,,,M,,,,,,,,,,,7,,,
SharePriceMove,,795,,,,,,,M,,,right,67,71,,,,,,,,,
,,796,Passed,,,,M,,,,,,,,,,,,,,,,
,,797,PrivateBuySkipped,,,,,,M,,,,,,,,,,,,,,
CompanyOperated,,798,,e,,,,,CPR,,,,,,,,,,,,,,
,,799,TilePlaced,,,,,,R,,,,,,B16 (Ottawa),57,0,,,,,,
,,800,Passed,,,,CPR,,,,,,,,,,,,,,,,
,,801,TrainRan,,70,,,,R,,,,,,,,,3,A19-B16-C15,,,,
,,802,DividendPayed,,70,,,,R,,,,,,,,,,,7,,,
SharePriceMove,,803,,,,,,,R,,,right,65,67,,,,,,,,,
,,804,TrainBought,,450,,,,R,,The Depot,,,,,,,5,,,,,
,,805,PrivateBuySkipped,,,,,,R,,,,,,,,,,,,,,
CompanyOperated,,806,,n,,,,,NYNH,,,,,,,,,,,,,,
,,807,TilePlaced,,,,,,H,,,,,,H18 (Philadelphia & Trenton),66,5,,,,,,
,,808,TokenSkipped,,,,,,H,,,,,,,,,,,,,,
,,809,TrainRan,,120,,,,H,,,,,,,,,3,G19-G17-H18,,,,
,,810,DividendPayed,,120,,,,H,,,,,,,,,,,12,,,
SharePriceMove,,811,,,,,,,H,,,right,30,40,,,,,,,,,
,,812,TrainBought,,450,,,,H,,The Depot,,,,,,,5,,,,,
,,813,PrivateBuySkipped,,,,,,H,,,,,,,,,,,,,,
StockRound,,814,,,,,,,,7,,,,,,,,,,,,,
,,815,ShareBought,y,120,,,10,C&O,,market,,,,,,,,,,,,
,,816,SellSharesSkipped,y,,,,,,,,,,,,,,,,,,,
,,817,ShareBought,e,100,,,10,NYC,,market,,,,,,,,,,,,
,,818,SellSharesSkipped,e,,,,,,,,,,,,,,,,,,,
,,819,ShareBought,y,62,,,10,ERIE,,market,,,,,,,,,,,,
,,820,SellSharesSkipped,y,,,,,,,,,,,,,,,,,,,
,,821,ShareBought,n,62,,,10,ERIE,,market,,,,,,,,,,,,
,,822,SellSharesSkipped,n,,,,,,,,,,,,,,,,,,,
,,823,ShareBought,y,67,,,10,CPR,,market,,,,,,,,,,,,
,,824,SellSharesSkipped,y,,,,,,,,,,,,,,,,,,,
,,825,ShareBought,e,100,,,10,NYC,,market,,,,,,,,,,,,
,,826,SellSharesSkipped,e,,,,,,,,,,,,,,,,,,,
,,827,ShareBought,y,67,,,10,CPR,,market,,,,,,,,,,,,
,,828,SellSharesSkipped,y,,,,,,,,,,,,,,,,,,,
,,829,ShareBought,n,67,,,10,CPR,,market,,,,,,,,,,,,
,,830,SellSharesSkipped,n,,,,,,,,,,,,,,,,,,,
,,831,Passed,,,,JuicyBerry,,,,,,,,,,,,,,,,
,,832,ShareBought,e,67,,,10,CPR,,market,,,,,,,,,,,,
,,833,SellSharesSkipped,e,,,,,,,,,,,,,,,,,,,
,,834,ShareBought,y,120,,,10,C&O,,market,,,,,,,,,,,,
,,835,SellSharesSkipped,y,,,,,,,,,,,,,,,,,,,
,,836,ShareBought,n,62,,,10,ERIE,,market,,,,,,,,,,,,
,,837,SellSharesSkipped,n,,,,,,,,,,,,,,,,,,,
,,838,Passed,,,,JuicyBerry,,,,,,,,,,,,,,,,
,,839,ShareBought,e,76,,,10,B&M,,IPO,,,,,,,,,,,,
,,840,SellSharesSkipped,e,,,,,,,,,,,,,,,,,,,
,,841,Passed,,,,JibJibMonkey,,,,,,,,,,,,,,,,
,,842,ShareBought,n,120,,,10,C&O,,market,,,,,,,,,,,,
,,843,SellSharesSkipped,n,,,,,,,,,,,,,,,,,,,
,,844,Passed,,,,JuicyBerry,,,,,,,,,,,,,,,,
,,845,Passed,,,,KingZombie,,,,,,,,,,,,,,,,
,,846,Passed,,,,JibJibMonkey,,,,,,,,,,,,,,,,
,,847,ShareBought,n,120,,,10,C&O,,market,,,,,,,,,,,,
,,848,SellSharesSkipped,n,,,,,,,,,,,,,,,,,,,
,,849,Passed,,,,JuicyBerry,,,,,,,,,,,,,,,,
,,850,Passed,,,,KingZombie,,,,,,,,,,,,,,,,
,,851,Passed,,,,JibJibMonkey,,,,,,,,,,,,,,,,
,,852,ShareBought,n,120,,,10,C&O,,market,,,,,,,,,,,,
,,853,SellSharesSkipped,n,,,,,,,,,,,,,,,,,,,
,,854,Passed,,,,JuicyBerry,,,,,,,,,,,,,,,,
,,855,Passed,,,,KingZombie,,,,,,,,,,,,,,,,
,,856,Passed,,,,JibJibMonkey,,,,,,,,,,,,,,,,
,,857,SharesSold,n,120,,,,C&O,,,,,,,,,,,,1,,
,,858,BuySharesSkipped,n,,,,,,,,,,,,,,,,,,,
,,859,Passed,,,,JuicyBerry,,,,,,,,,,,,,,,,
,,860,Passed,,,,KingZombie,,,,,,,,,,,,,,,,
,,861,Passed,,,,JibJibMonkey,,,,,,,,,,,,,,,,
,,862,ShareBought,n,100,,,10,B&O,,IPO,,,,,,,,,,,,
,,863,SellSharesSkipped,n,,,,,,,,,,,,,,,,,,,
,,864,Passed,,,,JuicyBerry,,,,,,,,,,,,,,,,
,,865,Passed,,,,KingZombie,,,,,,,,,,,,,,,,
,,866,Passed,,,,JibJibMonkey,,,,,,,,,,,,,,,,
,,867,Passed,,,,leesin,,,,,,,,,,,,,,,,
SharePriceMove,,868,,,,,,,C,,,up,100,110,,,,,,,,,
SharePriceMove,,869,,,,,,,E,,,up,62,66,,,,,,,,,
SharePriceMove,,870,,,,,,,H,,,up,40,45,,,,,,,,,
PriorityDeal,,871,,JuicyBerry,,,,,,,,,,,,,,,,,,,
OperatingRound,,872,,,,,,,,7.1,,,,,,,,,,,,,
CompanyOperated,,873,,y,,,,,C&O,,,,,,,,,,,,,,
,,874,TilePlaced,,,,,,O,,,,,,I15 (Baltimore),61,4,,,,,,
,,875,TokenSkipped,,,,,,O,,,,,,,,,,,,,,
,,876,TrainRan,,140,,,,O,,,,,,,,,3,I15-H16-H18,,,,
,,877,DividendWithheld,,140,,,,O,,,,,,,,,,,,,,
SharePriceMove,,878,,,,,,,O,,,left,120,110,,,,,,,,,
,,879,TrainBought,,630,,,,O,,The Depot,,,,,,,6,,,,,
PhaseChange,6,880,,,,,,,,,,,,,,,,,,,,,
TrainRust,,881,,,,,,,,,,,,,,,,3,,,,,
,,882,Passed,,,,O,,,,,,,,,,,,,,,,
,,883,PrivateBuySkipped,,,,,,O,,,,,,,,,,,,,,
CompanyOperated,,884,,n,,,,,NYC,,,,,,,,,,,,,,
,,885,TilePlaced,,,,,,C,,,,,,E11 (Dunkirk & Buffalo),64,2,,,,,,
,,886,Passed,,,,NYC,,,,,,,,,,,,,,,,
,,887,TrainSkipped,,,,,,C,,,,,,,,,,,,,,
,,888,RunTrainSkipped,,,,,,C,,,,,,,,,,,,,,
SharePriceMove,,889,,,,,,,C,,,left,110,100,,,,,,,,,
,,890,TrainBought,,630,,,,C,,The Depot,,,,,,,6,,,,,
,,891,Passed,,,,NYC,,,,,,,,,,,,,,,,
,,892,PrivateBuySkipped,,,,,,C,,,,,,,,,,,,,,
CompanyOperated,,893,,e,,,,,B&O,,,,,,,,,,,,,,
,,894,TilePlaced,,,,,,O,,,,,,H14,41,4,,,,,,
,,895,Passed,,,,O,,,,,,,,,,,,,,,,
,,896,TrainRan,,170,,,,O,,,,,,,,,4,H18-H16-I15-H10,,,,
,,897,DividendPayed,,170,,,,O,,,,,,,,,,,17,,,
SharePriceMove,,898,,,,,,,O,,,up,100,110,,,,,,,,,
,,899,Passed,,,,O,,,,,,,,,,,,,,,,
,,900,PrivateBuySkipped,,,,,,O,,,,,,,,,,,,,,
CompanyOperated,,901,,y,,,,,PRR,,,,,,,,,,,,,,
,,902,TilePlaced,,,,,,R,,,,,,F12,9,0,,,,,,
,,903,Passed,,,,PRR,,,,,,,,,,,,,,,,
,,904,TrainRan,,190,,,,R,,,,,,,,,4,F2-H4-H10-I15,,,,
,,905,DividendWithheld,,190,,,,R,,,,,,,,,,,,,,
SharePriceMove,,906,,,,,,,R,,,left,80,75,,,,,,,,,
,,907,Passed,,,,PRR,,,,,,,,,,,,,,,,
,,908,PrivateBuySkipped,,,,,,R,,,,,,,,,,,,,,
CompanyOperated,,909,,y,,,,,B&M,,,,,,,,,,,,,,
,,910,TilePlaced,,,,,,M,,,,,,E23 (Boston),61,3,,,,,,
,,911,TokenSkipped,,,,,,M,,,,,,,,,,,,,,
,,912,TrainRan,,80,,,,M,,,,,,,,,4,F24-E23-F20,,,,
,,913,DividendPayed,,80,,,,M,,,,,,,,,,,8,,,
SharePriceMove,,914,,,,,,,M,,,right,71,76,,,,,,,,,
,,915,TrainBought,,340,,,,M,,PRR,,,,,,,4,,,,,
,,916,PrivateBuySkipped,,,,,,M,,,,,,,,,,,,,,
CompanyOperated,,917,,e,,,,,CPR,,,,,,,,,,,,,,
,,918,TilePlaced,,,,,,R,,,,,,C13,9,1,,,,,,
,,919,Passed,,,,CPR,,,,,,,,,,,,,,,,
,,920,TrainRan,,70,,,,R,,,,,,,,,5,A19-B16-C15,,,,
,,921,DividendWithheld,,70,,,,R,,,,,,,,,,,,,,
SharePriceMove,,922,,,,,,,R,,,left,67,65,,,,,,,,,
,,923,Passed,,,,CPR,,,,,,,,,,,,,,,,
,,924,PrivateBuySkipped,,,,,,R,,,,,,,,,,,,,,
CompanyOperated,,925,,y,,,,,ERIE,,,,,,,,,,,,,,
,,926,TilePlaced,,,,,,E,,,,,,G11,43,0,,,,,,
,,927,TokenSkipped,,,,,,E,,,,,,,,,,,,,,
,,928,TrainRan,,90,,,,E,,,,,,,,,5,E11-F10-H10,,,,
,,929,DividendPayed,,90,,,,E,,,,,,,,,,,9,,,
SharePriceMove,,930,,,,,,,E,,,right,66,71,,,,,,,,,
,,931,TrainBuySkipped,,,,,,E,,,,,,,,,,,,,,
,,932,PrivateBuySkipped,,,,,,E,,,,,,,,,,,,,,
CompanyOperated,,933,,n,,,,,NYNH,,,,,,,,,,,,,,
,,934,TilePlaced,,,,,,H,,,,,,G19 (New York & Newark),62,0,,,,,,
,,935,TokenSkipped,,,,,,H,,,,,,,,,,,,,,
,,936,TrainRan,,210,,,,H,,,,,,,,,5,G19-G17-H18-I19-I15,,,,
,,937,DividendPayed,,210,,,,H,,,,,,,,,,,21,,,
SharePriceMove,,938,,,,,,,H,,,right,45,54,,,,,,,,,
,,939,Passed,,,,NYNH,,,,,,,,,,,,,,,,
,,940,PrivateBuySkipped,,,,,,H,,,,,,,,,,,,,,
OperatingRound,,941,,,,,,,,7.2,,,,,,,,,,,,,
CompanyOperated,,942,,y,,,,,C&O,,,,,,,,,,,,,,
,,943,TilePlaced,,,,,,O,,,,,,H8,43,1,,,,,,
,,944,TokenSkipped,,,,,,O,,,,,,,,,,,,,,
,,945,TrainRan,,230,,,,O,,,,,,,,,6,F2-F6-G7-H10-H16-I15,,,,
,,946,DividendPayed,,230,,,,O,,,,,,,,,,,23,,,
SharePriceMove,,947,,,,,,,O,,,right,110,120,,,,,,,,,
,,948,TrainBought,,40,,,,O,,ERIE,,,,,,,4,,,,,
,,949,PrivateBuySkipped,,,,,,O,,,,,,,,,,,,,,
CompanyOperated,,950,,e,,,,,B&O,,,,,,,,,,,,,,
,,951,TilePlaced,,,,,,O,,,,,,H16 (Lancaster),63,0,,,,,,
,,952,Passed,,,,O,,,,,,,,,,,,,,,,
,,953,TrainRan,,180,,,,O,,,,,,,,,4,H18-H16-I15-H10,,,,
,,954,DividendPayed,,180,,,,O,,,,,,,,,,,18,,,
SharePriceMove,,955,,,,,,,O,,,right,110,120,,,,,,,,,
,,956,Passed,,,,O,,,,,,,,,,,,,,,,
,,957,PrivateBuySkipped,,,,,,O,,,,,,,,,,,,,,
CompanyOperated,,958,,n,,,,,NYC,,,,,,,,,,,,,,
,,959,TilePlaced,,,,,,C,,,,,,E19 (Albany),63,0,,,,,,
,,960,TokenSkipped,,,,,,C,,,,,,,,,,,,,,
,,961,TrainRan,,210,,,,C,,,,,,,,,6,E11-D14-E19-F20-G19-G17,,,,
,,962,DividendPayed,,210,,,,C,,,,,,,,,,,21,,,
SharePriceMove,,963,,,,,,,C,,,right,100,110,,,,,,,,,
,,964,Passed,,,,NYC,,,,,,,,,,,,,,,,
,,965,PrivateBuySkipped,,,,,,C,,,,,,,,,,,,,,
CompanyOperated,,966,,y,,,,,B&M,,,,,,,,,,,,,,
,,967,TilePlaced,,,,,,M,,,,,,E21,25,4,,,,,,
,,968,TokenSkipped,,,,,,M,,,,,,,,,,,,,,
,,969,TrainRan,,70,,,,M,,,,,,,,,4,E23-F24,,,,
,,970,TrainRan,,70,,,,M,,,,,,,,,4,E23-F20,,,,
,,971,DividendWithheld,,140,,,,M,,,,,,,,,,,,,,
SharePriceMove,,972,,,,,,,M,,,left,76,71,,,,,,,,,
,,973,TrainBuySkipped,,,,,,M,,,,,,,,,,,,,,
,,974,PrivateBuySkipped,,,,,,M,,,,,,,,,,,,,,
CompanyOperated,,975,,y,,,,,PRR,,,,,,,,,,,,,,
,,976,TilePlaced,,,,,,R,,,,,,H10 (Pittsburgh),63,0,,,,,,
,,977,Passed,,,,PRR,,,,,,,,,,,,,,,,
,,978,TrainSkipped,,,,,,R,,,,,,,,,,,,,,
,,979,RunTrainSkipped,,,,,,R,,,,,,,,,,,,,,
SharePriceMove,,980,,,,,,,R,,,left,75,71,,,,,,,,,
,,981,TrainBought,,122,,,,R,,B&M,,,,,,,4,,,,,
,,982,TrainExchanged,,D,,,,R,,800,,,,,,,,,,,4,D
PhaseChange,D,983,,,,,,,,,,,,,,,,,,,,,
TrainRust,,984,,,,,,,,,,,,,,,,4,,,,,
,,985,PrivateBuySkipped,,,,,,R,,,,,,,,,,,,,,
CompanyOperated,,986,,y,,,,,ERIE,,,,,,,,,,,,,,
,,987,TilePlaced,,,,,,E,,,,,,G9,8,4,,,,,,
,,988,Passed,,,,ERIE,,,,,,,,,,,,,,,,
,,989,TrainRan,,160,,,,E,,,,,,,,,5,E11-F10-H4-F2,,,,
,,990,DividendPayed,,160,,,,E,,,,,,,,,,,16,,,
SharePriceMove,,991,,,,,,,E,,,right,71,76,,,,,,,,,
,,992,Passed,,,,ERIE,,,,,,,,,,,,,,,,
,,993,PrivateBuySkipped,,,,,,E,,,,,,,,,,,,,,
CompanyOperated,,994,,e,,,,,CPR,,,,,,,,,,,,,,
,,995,TilePlaced,,,,,,R,,,,,,C11,8,2,,,,,,
,,996,Passed,,,,CPR,,,,,,,,,,,,,,,,
,,997,TrainRan,,70,,,,R,,,,,,,,,5,A19-B16-C15,,,,
,,998,DividendPayed,,70,,,,R,,,,,,,,,,,7,,,
SharePriceMove,,999,,,,,,,R,,,right,65,67,,,,,,,,,
,,1000,Passed,,,,CPR,,,,,,,,,,,,,,,,
,,1001,PrivateBuySkipped,,,,,,R,,,,,,,,,,,,,,
CompanyOperated,,1002,,n,,,,,NYNH,,,,,,,,,,,,,,
,,1003,TilePlaced,,,,,,H,,,,,,E15,8,1,,,,,,
,,1004,TokenSkipped,,,,,,H,,,,,,,,,,,,,,
,,1005,TrainRan,,210,,,,H,,,,,,,,,5,G19-G17-H18-I19-I15,,,,
,,1006,DividendPayed,,210,,,,H,,,,,,,,,,,21,,,
SharePriceMove,,1007,,,,,,,H,,,right,54,63,,,,,,,,,
,,1008,Passed,,,,NYNH,,,,,,,,,,,,,,,,
,,1009,PrivateBuySkipped,,,,,,H,,,,,,,,,,,,,,
OperatingRound,,1010,,,,,,,,7.3,,,,,,,,,,,,,
CompanyOperated,,1011,,y,,,,,C&O,,,,,,,,,,,,,,
,,1012,TilePlaced,,,,,,O,,,,,,E13,16,0,,,,,,
,,1013,TokenSkipped,,,,,,O,,,,,,,,,,,,,,
,,1014,TrainRan,,250,,,,O,,,,,,,,,6,F2-F6-G7-H10-H16-I15,,,,
,,1015,DividendPayed,,250,,,,O,,,,,,,,,,,25,,,
SharePriceMove,,1016,,,,,,,O,,,right,120,130,,,,,,,,,
,,1017,Passed,,,,O,,,,,,,,,,,,,,,,
,,1018,PrivateBuySkipped,,,,,,O,,,,,,,,,,,,,,
CompanyOperated,,1019,,e,,,,,B&O,,,,,,,,,,,,,,
,,1020,TilePlaced,,,,,,O,,,,,,I17,41,1,,,,,,
,,1021,Passed,,,,O,,,,,,,,,,,,,,,,
,,1022,TrainSkipped,,,,,,O,,,,,,,,,,,,,,
,,1023,RunTrainSkipped,,,,,,O,,,,,,,,,,,,,,
SharePriceMove,,1024,,,,,,,O,,,left,120,110,,,,,,,,,
,,1025,TrainBought,,620,,,,O,,CPR,,,,,,,5,,,,,
,,1026,Passed,,,,O,,,,,,,,,,,,,,,,
,,1027,PrivateBuySkipped,,,,,,O,,,,,,,,,,,,,,
CompanyOperated,,1028,,n,,,,,NYC,,,,,,,,,,,,,,
,,1029,TilePlaced,,,,,,C,,,,,,D12,18,4,,,,,,
,,1030,TokenSkipped,,,,,,C,,,,,,,,,,,,,,
,,1031,TrainRan,,210,,,,C,,,,,,,,,6,E11-D14-E19-F20-G19-G17,,,,
,,1032,DividendPayed,,210,,,,C,,,,,,,,,,,21,,,
SharePriceMove,,1033,,,,,,,C,,,right,110,120,,,,,,,,,
,,1034,Passed,,,,NYC,,,,,,,,,,,,,,,,
,,1035,PrivateBuySkipped,,,,,,C,,,,,,,,,,,,,,
CompanyOperated,,1036,,y,,,,,ERIE,,,,,,,,,,,,,,
,,1037,TilePlaced,,,,,,E,,,,,,F12,19,0,,,,,,
,,1038,TokenPlaced,,,,,,E,,,,,,H4 (Columbus)  for $40,,,,,,,,
,,1039,TrainRan,,160,,,,E,,,,,,,,,5,E11-F10-H4-F2,,,,
,,1040,DividendPayed,,160,,,,E,,,,,,,,,,,16,,,
SharePriceMove,,1041,,,,,,,E,,,right,76,82,,,,,,,,,
,,1042,Passed,,,,ERIE,,,,,,,,,,,,,,,,
,,1043,PrivateBuySkipped,,,,,,E,,,,,,,,,,,,,,
CompanyOperated,,1044,,y,,,,,PRR,,,,,,,,,,,,,,
,,1045,TilePlaced,,,,,,R,,,,,,G5,70,0,,,,,,
,,1046,TokenSkipped,,,,,,R,,,,,,,,,,,,,,
,,1047,TrainRan,,210,,,,R,,,,,,,,,D,F2-H4-H10-H12-I15,,,,
,,1048,DividendPayed,,210,,,,R,,,,,,,,,,,21,,,
SharePriceMove,,1049,,,,,,,R,,,right,71,75,,,,,,,,,
,,1050,Passed,,,,PRR,,,,,,,,,,,,,,,,
,,1051,PrivateBuySkipped,,,,,,R,,,,,,,,,,,,,,
CompanyOperated,,1052,,y,,,,,B&M,,,,,,,,,,,,,,
,,1053,TilePlaced,,,,,,M,,,,,,D20,8,5,,,,,,
,,1054,TokenSkipped,,,,,,M,,,,,,,,,,,,,,
,,1055,TrainSkipped,,,,,,M,,,,,,,,,,,,,,
,,1056,RunTrainSkipped,,,,,,M,,,,,,,,,,,,,,
SharePriceMove,,1057,,,,,,,M,,,left,71,67,,,,,,,,,
,,1058,SharesSold,y,130,,,,C&O,,,,,,,,,,,,1,,
,,1059,SharesSold,y,67,,,,CPR,,,,,,,,,,,,1,,
SharePriceMove,,1060,,,,,,,R,,,down,67,67,,,,,,,,,
,,1061,SharesSold,y,82,,,,ERIE,,,,,,,,,,,,1,,
SharePriceMove,,1062,,,,,,,E,,,down,82,76,,,,,,,,,
,,1063,SharesSold,y,63,,,,NYNH,,,,,,,,,,,,1,,
SharePriceMove,,1064,,,,,,,H,,,down,63,60,,,,,,,,,
,,1065,SharesSold,y,201,,,,B&M,,,,,,,,,,,,3,,
SharePriceMove,,1066,,,,,,,M,,,down,67,60,,,,,,,,,
,,1067,TrainBuyContributed,y,838,,,,,,,,,,,,,,,,,,
,,1068,TrainBought,,1100,,,,M,,The Depot,,,,,,,D,,,,,
,,1069,PrivateBuySkipped,,,,,,M,,,,,,,,,,,,,,
CompanyOperated,,1070,,e,,,,,CPR,,,,,,,,,,,,,,
,,1071,TilePlaced,,,,,,R,,,,,,B10 (Barrie),57,2,,,,,,
,,1072,Passed,,,,CPR,,,,,,,,,,,,,,,,
,,1073,TrainSkipped,,,,,,R,,,,,,,,,,,,,,
,,1074,RunTrainSkipped,,,,,,R,,,,,,,,,,,,,,
SharePriceMove,,1075,,,,,,,R,,,left,67,63,,,,,,,,,
,,1076,TrainBuyContributed,e,283,,,,,,,,,,,,,,,,,,
,,1077,TrainBought,,1100,,,,R,,The Depot,,,,,,,D,,,,,
,,1078,PrivateBuySkipped,,,,,,R,,,,,,,,,,,,,,
CompanyOperated,,1079,,n,,,,,NYNH,,,,,,,,,,,,,,
,,1080,TilePlaced,,,,,,H,,,,,,E15,23,3,,,,,,
,,1081,TokenSkipped,,,,,,H,,,,,,,,,,,,,,
,,1082,TrainRan,,210,,,,H,,,,,,,,,5,G19-G17-H18-I19-I15,,,,
,,1083,DividendWithheld,,210,,,,H,,,,,,,,,,,,,,
SharePriceMove,,1084,,,,,,,H,,,left,60,50,,,,,,,,,
,,1085,Passed,,,,NYNH,,,,,,,,,,,,,,,,
,,1086,PrivateBuySkipped,,,,,,H,,,,,,,,,,,,,,
StockRound,,1087,,,,,,,,8,,,,,,,,,,,,,
,,1088,ShareBought,y,50,,,10,NYNH,,market,,,,,,,,,,,,
,,1089,SellSharesSkipped,y,,,,,,,,,,,,,,,,,,,
,,1090,ShareBought,e,130,,,10,C&O,,market,,,,,,,,,,,,
,,1091,SellSharesSkipped,e,,,,,,,,,,,,,,,,,,,
,,1092,Passed,,,,JibJibMonkey,,,,,,,,,,,,,,,,
,,1093,ShareBought,n,60,,,10,B&M,,market,,,,,,,,,,,,
,,1094,SellSharesSkipped,n,,,,,,,,,,,,,,,,,,,
,,1095,ShareBought,y,110,,,10,B&O,,market,,,,,,,,,,,,
,,1096,SellSharesSkipped,y,,,,,,,,,,,,,,,,,,,
,,1097,ShareBought,e,60,,,10,B&M,,market,,,,,,,,,,,,
,,1098,SellSharesSkipped,e,,,,,,,,,,,,,,,,,,,
,,1099,Passed,,,,JibJibMonkey,,,,,,,,,,,,,,,,
,,1100,ShareBought,n,60,,,10,B&M,,market,,,,,,,,,,,,
,,1101,SellSharesSkipped,n,,,,,,,,,,,,,,,,,,,
,,1102,ShareBought,y,75,,,10,PRR,,market,,,,,,,,,,,,
,,1103,SellSharesSkipped,y,,,,,,,,,,,,,,,,,,,
,,1104,ShareBought,e,76,,,10,ERIE,,market,,,,,,,,,,,,
,,1105,SellSharesSkipped,e,,,,,,,,,,,,,,,,,,,
,,1106,SharesSold,y,75,,,,PRR,,,,,,,,,,,,1,,
SharePriceMove,,1107,,,,,,,R,,,down,75,70,,,,,,,,,
,,1108,ShareBought,y,76,,,10,B&M,,IPO,,,,,,,,,,,,
,,1109,ShareBought,n,70,,,10,PRR,,market,,,,,,,,,,,,
,,1110,SellSharesSkipped,n,,,,,,,,,,,,,,,,,,,
,,1111,Passed,,,,JuicyBerry,,,,,,,,,,,,,,,,
,,1112,Passed,,,,KingZombie,,,,,,,,,,,,,,,,
,,1113,Passed,,,,JibJibMonkey,,,,,,,,,,,,,,,,
,,1114,ShareBought,n,130,,,10,C&O,,market,,,,,,,,,,,,
,,1115,SellSharesSkipped,n,,,,,,,,,,,,,,,,,,,
,,1116,Passed,,,,JuicyBerry,,,,,,,,,,,,,,,,
,,1117,Passed,,,,KingZombie,,,,,,,,,,,,,,,,
,,1118,Passed,,,,JibJibMonkey,,,,,,,,,,,,,,,,
,,1119,Passed,,,,leesin,,,,,,,,,,,,,,,,
SharePriceMove,,1120,,,,,,,O,,,up,130,155,,,,,,,,,
SharePriceMove,,1121,,,,,,,C,,,up,120,140,,,,,,,,,
SharePriceMove,,1122,,,,,,,E,,,up,76,82,,,,,,,,,
SharePriceMove,,1123,,,,,,,R,,,up,70,75,,,,,,,,,
SharePriceMove,,1124,,,,,,,M,,,up,60,63,,,,,,,,,
SharePriceMove,,1125,,,,,,,H,,,up,50,54,,,,,,,,,
PriorityDeal,,1126,,JuicyBerry,,,,,,,,,,,,,,,,,,,
OperatingRound,,1127,,,,,,,,8.1,,,,,,,,,,,,,
CompanyOperated,,1128,,y,,,,,C&O,,,,,,,,,,,,,,
,,1129,TilePlaced,,,,,,O,,,,,,F12,46,0,,,,,,
,,1130,TokenSkipped,,,,,,O,,,,,,,,,,,,,,
,,1131,TrainRan,,250,,,,O,,,,,,,,,6,G19-G17-H18-I19-H16-I15,,,,
,,1132,DividendPayed,,250,,,,O,,,,,,,,,,,25,,,
SharePriceMove,,1133,,,,,,,O,,,right,155,170,,,,,,,,,
,,1134,Passed,,,,O,,,,,,,,,,,,,,,,
,,1135,PrivateBuySkipped,,,,,,O,,,,,,,,,,,,,,
CompanyOperated,,1136,,n,,,,,NYC,,,,,,,,,,,,,,
,,1137,TilePlaced,,,,,,C,,,,,,F14,8,1,,,,,,
