event,phase,id,action,player,amount,private,who,percentage,company,round,source,train
,,313,Buy,,180,,,,O,,The Depot,3
Pass,,314,,,,,O,,,,,
,,315,Buy,O,40,Schuylkill Valley from mpcoyne,,,,,,
Pass,,316,,,,,O,,,,,
CompanyOperation,,317,,n,,,,,NYNH,,,
,,324,Buy,,180,,,,H,,The Depot,3
,,325,Buy,,300,,,,H,,The Depot,4
PhaseChange,4,326,,,,,,,,,,
TrainRust,,327,,,,,,,,,,2
Pass,,328,,,,,NYNH,,,,,
Pass,,329,,,,,NYNH,,,,,
CompanyOperation,,330,,m,,,,,NYC,,,
,,336,Buy,,300,,,,C,,The Depot,4
Pass,,337,,,,,NYC,,,,,
Pass,,338,,,,,NYC,,,,,
CompanyOperation,,339,,d,,,,,C&O,,,
Pass,,345,,,,,O,,,,,
Pass,,346,,,,,O,,,,,
CompanyOperation,,347,,n,,,,,PRR,,,
Pass,,349,,,,,PRR,,,,,
Pass,,353,,,,,PRR,,,,,
Pass,,354,,,,,PRR,,,,,
OperatingRound,,355,,,,,,,,4.2,,
,,356,Collect,mpakfm,10,,,,,,Champlain & St.Lawrence,
,,357,Collect,O,5,,,,,,Schuylkill Valley,
,,358,Collect,O,15,,,,,,Delaware & Hudson,
,,359,Collect,PRR,20,,,,,,Mohawk & Hudson,
,,360,Collect,PRR,25,,,,,,Camden & Amboy,
CompanyOperation,,361,,e,,,,,B&O,,,
Pass,,363,,,,,O,,,,,
Pass,,367,,,,,O,,,,,
Pass,,368,,,,,O,,,,,
CompanyOperation,,369,,m,,,,,NYC,,,
Pass,,376,,,,,NYC,,,,,
Pass,,377,,,,,NYC,,,,,
CompanyOperation,,378,,n,,,,,NYNH,,,
Pass,,385,,,,,NYNH,,,,,
Pass,,386,,,,,NYNH,,,,,
CompanyOperation,,387,,d,,,,,C&O,,,
Pass,,393,,,,,O,,,,,
Pass,,394,,,,,O,,,,,
CompanyOperation,,395,,n,,,,,PRR,,,
Pass,,397,,,,,PRR,,,,,
Pass,,401,,,,,PRR,,,,,
Pass,,402,,,,,PRR,,,,,
StockRound,,403,,,,,,,,5,,
,,404,Buy,mpakfm,82,,,10,NYNH,,IPO,
,,406,Buy,mpcoyne,82,,,10,NYNH,,IPO,
,,414,Par,riverfiend,100,,,,ERIE,,,
,,415,Buy,riverfiend,200,,,20,ERIE,,IPO,
PresidentNomination,,416,,riverfiend,,,,,ERIE,,,
,,417,Buy,leesin,60,,,10,C&O,,market,
,,420,Buy,mpakfm,82,,,10,NYNH,,IPO,
,,422,Buy,mpcoyne,40,,,10,C&O,,market,
,,424,Buy,riverfiend,100,,,10,ERIE,,IPO,
,,426,Buy,leesin,90,,,10,NYC,,market,
Pass,,428,,,,,mpakfm,,,,,
,,429,Buy,mpcoyne,40,,,10,C&O,,market,
,,431,Buy,riverfiend,100,,,10,ERIE,,IPO,
,,433,Buy,leesin,100,,,10,ERIE,,IPO,
Pass,,436,,,,,mpakfm,,,,,
Pass,,437,,,,,mpcoyne,,,,,
,,438,Buy,riverfiend,82,,,10,NYNH,,IPO,
,,440,Buy,leesin,90,,,10,NYC,,IPO,
Pass,,442,,,,,mpakfm,,,,,
Pass,,443,,,,,mpcoyne,,,,,
,,444,Buy,riverfiend,100,,,10,ERIE,,IPO,
CompanyFloating,,445,,E,,,,,,,,
,,446,Receive,,1000,,,,E,,,
Pass,,448,,,,,leesin,,,,,
Pass,,449,,,,,mpakfm,,,,,
Pass,,450,,,,,mpcoyne,,,,,
Pass,,451,,,,,riverfiend,,,,,
PriorityDeal,,453,,leesin,,,,,,,,
OperatingRound,,454,,,,,,,,5.1,,
,,455,Collect,mpakfm,10,,,,,,Champlain & St.Lawrence,
,,456,Collect,O,5,,,,,,Schuylkill Valley,
,,457,Collect,PRR,20,,,,,,Mohawk & Hudson,
,,458,Collect,PRR,25,,,,,,Camden & Amboy,
,,459,Collect,O,15,,,,,,Delaware & Hudson,
CompanyOperation,,460,,e,,,,,B&O,,,
Pass,,462,,,,,O,,,,,
Pass,,466,,,,,O,,,,,
Pass,,467,,,,,O,,,,,
CompanyOperation,,468,,m,,,,,NYC,,,
Pass,,475,,,,,NYC,,,,,
Pass,,476,,,,,NYC,,,,,
CompanyOperation,,477,,d,,,,,ERIE,,,
,,486,Buy,,300,,,,E,,The Depot,4
Pass,,487,,,,,ERIE,,,,,
Pass,,488,,,,,ERIE,,,,,
CompanyOperation,,489,,n,,,,,NYNH,,,
Pass,,496,,,,,NYNH,,,,,
Pass,,497,,,,,NYNH,,,,,
CompanyOperation,,498,,n,,,,,PRR,,,
Pass,,500,,,,,PRR,,,,,
Pass,,504,,,,,PRR,,,,,
Pass,,505,,,,,PRR,,,,,
CompanyOperation,,506,,d,,,,,C&O,,,
Pass,,508,,,,,O,,,,,
Pass,,512,,,,,O,,,,,
Pass,,513,,,,,O,,,,,
OperatingRound,,514,,,,,,,,5.2,,
,,515,Collect,mpakfm,10,,,,,,Champlain & St.Lawrence,
,,516,Collect,O,5,,,,,,Schuylkill Valley,
,,517,Collect,O,15,,,,,,Delaware & Hudson,
,,518,Collect,PRR,20,,,,,,Mohawk & Hudson,
,,519,Collect,PRR,25,,,,,,Camden & Amboy,
CompanyOperation,,520,,e,,,,,B&O,,,
Pass,,522,,,,,O,,,,,
Pass,,526,,,,,O,,,,,
Pass,,527,,,,,O,,,,,
CompanyOperation,,528,,m,,,,,NYC,,,
,,535,Buy,,300,,,,C,,The Depot,4
Pass,,536,,,,,NYC,,,,,
CompanyOperation,,537,,n,,,,,NYNH,,,
Pass,,544,,,,,NYNH,,,,,
Pass,,545,,,,,NYNH,,,,,
CompanyOperation,,546,,d,,,,,ERIE,,,
Pass,,548,,,,,ERIE,,,,,
,,552,Buy,,450,,,,E,,The Depot,5
PhaseChange,5,553,,,,,,,,,,
PrivatesClose,,554,,,,,,,,,,
CompanyOperation,,557,,d,,,,,C&O,,,
Pass,,559,,,,,O,,,,,
,,563,Buy,,222,,,,O,,ERIE,5
CompanyOperation,,565,,n,,,,,PRR,,,
,,571,Buy,,10,,,,R,,NYNH,4
StockRound,,573,,,,,,,,6,,
,,576,Buy,leesin,30,,,10,PRR,,market,
,,577,Buy,leesin,30,,,10,PRR,,market,
,,578,Buy,leesin,30,,,10,PRR,,market,
,,579,Buy,leesin,30,,,10,PRR,,market,
,,580,Buy,leesin,30,,,10,PRR,,market,
,,583,Buy,mpakfm,120,,,10,B&O,,market,
,,590,Par,mpcoyne,76,,,,B&M,,,
,,591,Buy,mpcoyne,152,,,20,B&M,,IPO,
PresidentNomination,,592,,mpcoyne,,,,,B&M,,,
